Year,Key,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1990,Urban,,,,,99.89868927,,,,,,99.9171524,99.89868927,,99.686203,100,,100,99.89868927,99.89868927,,,99.89868927,,,,,97.538681,92.81064606,99.89776611,99.89868927,,,,,,99.89868927,99.87825012,,,,98.846714,,97.9,,,,,72.25034489,98.57940674,,100,99.89868927,75.10271454,99.89868927,,,,,,,,,99.89868927,,,99.89868927,,99.89868927,99.89868927,99.9171524,,,,99.89868927,,99.89868927,99.89868927,99.89868927,,99.94182587,,,,,,,99.89776611,99.89868927,99.89868927,,,,,99.89868927,99.89868927,99.90260315,99.89868927,82.110334,99.89776611,99.23476686,,,,,99.93544006,,99.90260315,,,99.89868927,,,,,99.89868927,99.89868927,99.89868927,99.87814331,,,,,,99.89868927,,,,,,,99.89868927,,,,,,,,,99.89868927,99.94182587,99.9171524,,,82.4,,99.83689117,99.89868927,99.93586731,,,95.56,,,,,99.89868927,99.89868927,100,99.90260315,99.92218018,100,,,99.89868927,,100,,,,,99.89776611,98.8119812,99.89868927,99.89868927,,,,,99.89868927,,,,,,66.1,,99.89868927,99.89868927,,,,,,,,,,,,99.31136322,,,,99.90260315,99.89868927,99.90289307,,,,,,99.89868927,,,34.7,
1991,Urban,,,,,99.94800568,,,,,,99.96009827,99.94800568,,99.74806213,100,58.06059522,100,99.94800568,99.94800568,94,,99.94800568,,,,17.5,91.14651489,93.12604523,99.94740295,99.94800568,,,,,63,99.94800568,99.93227386,,,,99.18708801,,98.540802,,,,,73.0254418,98.74784851,,100,99.94800568,75.77393341,99.94800568,,,96.5,,,93.618226,,,99.94800568,,,99.94800568,,99.94800568,99.94800568,99.96009827,,,,99.94800568,,99.94800568,99.94800568,99.94800568,,99.97427368,,,,,,88.700619,99.94740295,99.94800568,99.94800568,,87.6,,,99.94800568,99.94800568,99.95056915,99.94800568,86.21343231,99.94740295,99.31324768,,,,,99.97116852,,99.95056915,,,99.94800568,,,,,99.94800568,99.94800568,99.94800568,99.93241882,,,,,,99.94800568,,,,,,,99.94800568,,,,,,,,,99.94800568,99.97427368,99.96009827,,,83.81515503,,99.89324951,99.94800568,99.97125244,,,95.68560791,,,,,99.94800568,99.94800568,100,99.95056915,99.96325684,100,,97.01043701,99.94800568,,100,,,,,99.94740295,98.90909576,99.94800568,99.94800568,,,,,99.94800568,,,,,81.13241577,63.66651535,,99.94800568,99.94800568,,,,,,,,,,,,99.38908386,,33.6,,99.95056915,99.94800568,99.95075989,,,,,,99.94800568,,,35.02808762,
1992,Urban,,,,,99.98246765,,,,,,99.98775482,99.98246765,,99.80921173,100,67.68811798,100,99.98246765,99.98246765,94.38336182,,99.98246765,,,,19.82499504,97.523788,93.4407196,99.98220825,99.98246765,,,,,69.79663086,99.98246765,99.97337341,,,,99.107534,,98.6509552,,,,,73.80289524,98.91558075,,100,99.98246765,76.44443512,99.98246765,,,95.31705475,,98.4,94.38828278,,,99.98246765,,,99.98246765,,99.98246765,99.98246765,99.98775482,,,,99.98246765,,99.98246765,99.98246765,99.98246765,,99.99344635,,,,,,89.851267,99.98220825,99.98246765,99.98246765,,92.83786774,,,99.98246765,99.98246765,99.98358917,99.98246765,86.79266357,99.98220825,99.39673615,,,,,99.99241638,,99.98358917,,,99.98246765,,,,,99.98246765,99.98246765,99.98246765,99.97359467,46.9,19.8,,,,99.98246765,,,,98.584698,,,99.98246765,,,84.7,,,66,,,99.98246765,99.99344635,99.98775482,,26.7,83.87937927,,99.94395447,99.98246765,99.99234009,,,95.88787079,,,90.3,,99.98246765,99.98246765,100,99.98358917,99.98908997,100,31.1,97.16763306,99.98246765,,100,,,,,99.98220825,99.00549316,99.98246765,99.98246765,,,,,99.98246765,,,,,81.7978363,64.00644684,,99.98246765,99.98246765,,,23.9,,,,,,,,,99.46608734,,35.02431488,,99.98358917,99.98246765,99.9836731,98.379169,,,99.940829,,99.98246765,,91.2,39.2,85.57103729
1993,Urban,,,,,99.99720001,,,,,,99.99822998,99.99720001,,99.86605835,100,68.84832764,100,99.99720001,99.99720001,94.57462311,,99.99720001,,,,22.22455788,98.033975,93.75109863,99.99714661,99.99720001,29.4,,,,70.74377441,99.99720001,99.99403381,,,,99.35232544,,98.75681305,,,,,74.58102,99.07901764,,100,99.99720001,77.11063385,99.99720001,,,95.55960846,,99.090271,94.6061554,,,99.99720001,,,99.99720001,,99.99720001,99.99720001,99.99822998,,39.73962784,,99.99720001,74.6,99.99720001,99.99720001,99.99720001,,99.99935913,,,,90.396341,,92.082517,99.99714661,99.99720001,99.99720001,82.8,93.21018219,,,99.99720001,99.99720001,99.99742126,99.99720001,87.36759949,99.99714661,99.47592163,,42.5,,,99.99917603,,99.99742126,,97,99.99720001,,,,,99.99720001,99.99720001,99.99720001,99.99416351,40.77899933,18.61519814,,,,99.99720001,,,,99.0915451,,,99.99720001,,,90.03056335,,,71,,,99.99720001,99.99935913,99.99822998,93.545318,31.90649223,83.93930817,,99.98055267,99.99720001,99.99913025,,,96.08583069,,,91.29398346,83.7,99.99720001,99.99720001,100,99.99742126,99.99848938,100,18.52530479,97.32052612,99.99720001,,100,58.6,,,,99.99714661,99.09759521,99.99720001,99.99720001,,,,,99.99720001,,,,,82.45896149,64.34207916,,99.99720001,99.99720001,,,24.2071991,,,,,,,,,99.53878784,,35.88505173,,99.99742126,99.99720001,99.99743652,98.93338013,,,99.49456024,,99.99720001,,89.61949158,37.54595947,85.60405731
1994,Urban,,,,,100,,,,,,100,100,,99.90765381,100,75.2,100,100,100,94.7572937,,100,,93,,24.61552429,94.2216568,94.05288696,100,100,34.15727997,,,,71.68231964,100,99.99951172,,,,99.42420197,,98.85407257,,,,,69.53445235,99.2338562,,100,100,77.76824188,100,,,95.79357147,,99.17178345,94.81543732,,,100,,,100,,100,100,100,,41.2479248,,100,75.77058411,100,100,100,,100,,,,86.03964996,,92.144467,100,100,100,86.18670654,94.6,,,100,100,100,100,87.93393707,100,99.54651642,,41.44920731,,,100,,100,,95.26855469,100,,,,,100,100,100,99.99954224,41.96814728,19.81139183,,,,100,,,,99.25589,,,100,,,90.50170135,,,72.02199554,,,100,100,100,91.57472992,33.11924362,83.99063873,,99.99681091,100,100,,,96.27519989,,,91.68619537,87.28197479,100,100,100,100,100,100,20.81332779,97.46482849,100,,100,66.17266846,,100,,100,99.18109894,100,100,,,,,100,,,,,83.11149597,64.66911316,,100,100,,,25.58889008,,,,96.13322449,,99.76972961,,,99.60290527,,36.73719025,,100,100,100,99.01781464,,73.75106812,99.58828735,,100,,89.99402618,38.79414749,80.4
1995,Urban,,,,,100,,,,,,100,100,,99.93618774,100,71.13865662,100,100,100,94.92707062,,100,,94.3939209,,26.99359894,98.589696,94.34178162,100,100,35.37156677,,,,72.60797882,100,100,8,,,99.48319244,,99.2,,,,,76.13089239,99.37580109,,100,100,78.41295624,100,,,96.01464081,97.908304,99,94.981486,,80.6,100,,,100,,100,100,100,,42.74332809,,100,76.34442902,100,100,100,,100,88.9,,,86.26345062,76.5,93.264253,100,100,100,86.69272614,93.92472839,,,100,100,100,100,88.48738098,100,99.60421753,99.9,42.95762253,,,100,,100,,95.42227173,100,,,,,100,100,100,100,43.14440155,20.99469376,,,,100,,,,99.23538208,,,100,,,90.6,,,71.9486618,,,100,100,100,91.94684601,34.31910324,84.02907562,,100,100,100,,,96.45166779,,96.450145,92.06550598,87.73193359,100,100,100,100,100,100,23.08845901,97.59623718,100,,100,67.28967285,,100,,100,99.25171661,100,100,,,,,100,,,,,83.75113678,64.98325348,,100,100,,,26.95768929,,,,96.26638794,,99.81211853,,,99.6541214,,40.2,,100,100,100,99.097572,,74.48665619,99.7,,100,,90.35566711,40.02944565,85.64002991
1996,Urban,,,,,100,,,,,,100,100,,99.94454956,100,72.26018524,100,100,100,95.07965851,34.4,100,,96.7,,29.35448265,98.915038,94.61347961,100,100,36.56866455,,,,73.51644135,100,100,9.144975662,,,99.441775,,99.00562286,51.8,,,,76.89700985,99.50055695,,100,100,79.04048157,100,53.81001663,,96.21851349,99.04218292,99.29183197,95.233394,,79.82939148,100,,,100,89.94625854,100,100,100,,44.22153854,,100,76.9010849,100,100,100,,100,92.78006744,,,86.47006989,71.72038269,93.877733,100,100,100,87.1815567,94.25836182,,,100,100,100,100,92.356928,100,99.64472198,99.61514282,44.44884872,,,100,,100,,95.55879974,100,,,,,100,100,100,100,44.3034668,22.16080284,,,21.5,100,,,,99.076735,,,100,,,91.40098572,,,71.85813904,,78.4,100,100,100,92.30177307,35.50177002,84.05032349,,100,100,100,,,96.61095428,63.1,97.23674011,92,88.16469574,100,100,100,100,100,100,25.34639931,97.71045685,100,,100,68.38948059,,100,,100,99.30513763,100,100,,,84.96154022,,100,,,,,84.37358093,65.28020477,,100,100,,,35.5,,,,96.38235474,,99.83732605,,,99.6881485,,38.39849472,,100,100,100,99.315544,100,75.20504761,99.7327652,,100,,90.70011139,44.1,85.63437653
1997,Urban,,,,,100,,,,,,100,100,,99.94158936,100,79.5,100,100,100,95.21075439,44.05916214,100,,95.815075,,31.69387817,99.056926,94.86369324,100,100,37.74427414,,,,74.40341949,100,100,10.44786072,9.4,,99.54528809,,99.05130768,59.78164291,,,,77.65664926,99.60382843,,100,100,79.64652252,100,54.54051971,,96.40090942,99.08478546,99.32176971,95.34873199,,79.69217682,100,,,100,90.38319397,100,100,100,,45.67826462,,100,77.43624878,100,100,100,,100,92.90065765,,,86.65518951,71.26164246,95.072358,100,100,100,87.64889526,97.5,,,100,100,100,100,89.53840637,100,99.8,99.64561462,45.91858673,,,100,,100,100,95.67383575,100,,,,,100,100,100,100,38.1,23.30542564,,,25.38090515,100,,,,99.31045532,,,100,,,91.82054901,25.8,,71.74612427,,82.29557037,100,100,100,92.63520813,36.66294861,84.05008698,,99.99954987,100,100,,,96.74874878,60.52838898,97.566108,91.792103,88.57597351,100,100,100,100,100,100,27.58285141,97.80318451,100,,100,68.9,,100,,100,99.33706665,100,100,,,85.27060699,,100,,,,,84.97454071,65.55567169,,100,100,,,29.63941765,,,,96.47684479,,99.84104156,,,99.70068359,,39.19906235,,100,100,100,99.310103,99.7347641,75.90195465,99.7,98.6,100,99.93002319,89.8,42.44417191,85.60723114
1998,Urban,,,,,99.99960327,,,,,,99.99954224,99.99960327,,99.92471313,100,74.436409,100,99.99960327,99.99960327,95.31799316,45.1307869,99.99960327,,96.1,,34.00941467,99.137016,95.09004974,99.99960327,99.99960327,38.89602661,60.6,,55.98,79,99.99960327,99.99884796,11.7268877,9.054512978,,99.667146,,99.07313538,61.37452698,,,,78.40617439,99.68323517,,100,99.99960327,80.22869873,99.99960327,55.24716187,,96.55943298,99.626074,99.32785034,95.731315,,79.53109741,99.99960327,,,99.99960327,90.79627228,99.99960327,99.99960327,99.99954224,,47.11112976,,99.99960327,82.4,99.99960327,99.99960327,99.99960327,,100,92.99738312,,,86.81645966,70.7790451,96.042962,99.99960327,99.99960327,99.99960327,88.09237671,94.8588028,,,99.99960327,99.99960327,99.99958801,99.99960327,90.02931213,99.99960327,99.65890503,99.65222931,47.5,,,100,,99.99958801,99.93331909,95.76501465,99.99960327,,,,,99.99960327,99.99960327,99.99960327,99.99902344,46.55475998,24.42618752,,,28.30039978,99.99960327,,,,99.17507,,,99.99960327,,,92.21625519,18.60036659,,71.61025238,,83.03683472,99.99960327,100,99.99954224,90.707303,36.5,84.02598572,,99.99385071,99.99960327,99.99960327,93.14,,96.86268616,61.33932114,97.47727203,93.421129,91.1,99.99960327,99.99960327,100,99.99958801,99.99925995,99.99563599,29.79544449,97.87205505,99.99960327,,100,70.5222702,,100,,99.99960327,99.34514618,99.99960327,99.99960327,,,84.2,,99.99960327,,,,,85.55164337,65.80727386,,99.99960327,99.99960327,,,30.9456768,,,41.2,96.54747009,,99.82089996,,,99.68936157,,39.97576904,,99.99958801,99.99960327,99.99958801,99.337214,99.78244781,76.57499695,99.3,98.94204712,99.99960327,99.91257477,91.3221817,48,85.55622864
1999,Urban,,,,,99.99386597,,,,,,99.99346924,99.99386597,99.43148804,99.89165497,100,75.49406433,100,99.99386597,99.99386597,95.40670776,46.18388748,99.99386597,,97.837216,,36.306427,99.186252,95.29788208,99.99388885,99.99386597,39.7,50.26504135,,59.73876572,76.11113739,99.99386597,99.99015808,12.98739147,10.28089523,,99.51965332,,99.07644653,62.94888687,,,,82.42631802,99.74412537,,100,99.99386597,80.79235077,99.99386597,55.93528366,,98.9,99.289697,99.3154068,93.057406,,79.35150146,99.99386597,,,99.99386597,91.19083405,99.99386597,99.99386597,99.99346924,,48.52547073,,99.99386597,78.44033813,99.99386597,99.99386597,99.99386597,,99.99586487,91.3,53.8,,86.95920563,70.27792358,95.3172,99.99388885,99.99386597,99.99386597,91.3,95.12856293,,,99.99386597,99.99386597,99.99378204,99.99386597,88.49866,99.99388885,99.63554382,99.4,48.79181671,,,99.99660492,,99.99378204,99.89732361,95.83766937,99.99386597,,,,,99.99386597,99.99386597,99.99386597,99.99105835,47.64995193,25.52842712,,,31.20137405,99.99386597,88.91218262,,,99.29779816,,,99.99386597,,,92.59342957,21.10879135,,71.45586395,,83.75957489,99.99386597,99.99586487,99.99346924,93.23584747,38.91906738,84.3,,99.9713974,99.99386597,99.99364471,93.45879364,,96.95809937,62.13172913,97.515368,95.064564,90.13870288,99.99386597,99.99386597,100,99.99378204,99.99197388,99.97242737,31.9895134,97.92240143,99.99386597,,100,72.8,,100,,99.99388885,99.33469391,99.99386597,99.99386597,55.1,,85.82250977,,99.99386597,,,,,86.11022186,66.0403595,99.62406,99.99386597,99.99386597,,99.91789246,27.3,,,42.68698502,96.59957123,,99.78223419,,,99.65952301,,40.73395538,,99.99378204,99.99386597,99.99377441,99.17603302,99.81161499,77.22952271,99.5,98.96710205,99.99386597,99.87902832,91.60276031,44.77116776,87.4
