Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1990,,,,,100,,,,,,100,100,,100,100,,100,100,100,,,100,,,,,87.475116,91.61829376,100,100,,,,,,100,99.91555023,,,,92.257427,,89.9,,,,,36.65949249,,93.45767975,100,100,100,100,,,,,,,,,100,,,100,,100,100,100,,,,100,,100,100,100,,99.92514038,,,,,,,100,100,100,,,,,100,100,100,100,70.334586,100,96.8,,,,,99.97992706,,100,,,100,,,,,100,100,100,,,,,,,100,,,,,,,100,,,,,,,,,100,99.92514038,100,,,27.3,,99.94860077,100,100,,,70.19,,,,,100,100,100,100,100,100,,,100,,100,,,,,100,100,100,100,,,,,100,,,,,,32.8,,100,100,,,,,,,,93.16667175,,,,88.7,,,,100,100,100,,,,,,100,,,13.9,
1991,,,,,100,,,,,,100,100,,100,100,14.29,100,100,100,67,,100,,,,10.1,90.10422516,91.93198395,100,100,,,,,29,100,99.93084717,,,,94.7213974,,90.98419952,,,,,37.78728104,,93.7051239,100,100,100,100,,,78.2,,,69.60788,,,100,,,100,,100,100,100,,,,100,,100,100,100,,99.93928528,,,,,,54.781937,100,100,100,,48.9,,,100,100,100,100,77.23167419,100,97.79415894,,,,,99.98986816,,100,,,100,,,,,100,100,100,,,,,,,100,,,,,,,100,,,,,,,,,100,99.93928528,100,,,34.79286194,,99.96181488,100,100,,,72.15294647,,,,,100,100,100,100,100,100,,78.8,100,,100,,,,,100,100,100,100,,,,,100,,,,,66.8,24.55476379,,100,100,,,,,,,,93.47006226,,,,90.94551849,,5.6,,100,100,100,,,,,,100,,,12.78897762,
1992,,,,,100,,,,,,100,100,,100,100,11.96657467,100,100,100,70.3068161,,100,,59.84659576,,10.6452713,88.803833,92.24576569,100,100,,,,,32.67615509,100,99.94639587,,,,94.560057,,91.30423737,,,,,38.91461563,,93.95266724,100,100,100,100,,,82.07886505,,93.4,75.12730408,,,100,,,100,,100,100,100,,,,100,,100,100,100,,99.95367432,,,,,,58.913112,100,100,100,,66.26383209,,,100,100,100,100,78.02391052,100,97.88723755,,,,,99.99665833,,100,,,100,,,,,100,100,100,,9.2,3.2,,,,100,,,,93.145981,,,100,,,49.2,,,26.4,,,100,99.95367432,100,,4.4,35.68332672,,99.97504425,100,100,,,73.1251297,,,70.1,,100,100,100,100,100,100,2.3,81.12772369,100,,100,,,,,100,100,100,100,,,,,100,,,,,69.08982849,25.428442,,100,100,,,6.8,,,,,93.77354431,,,,91.32684326,,0.036207203,,100,100,100,97.60783386,,,97.820203,,100,,44.1,19.2,28.2
1993,,,,,100,,,,,,100,100,,100,100,14.53930664,100,100,100,71.4197998,,100,,61.20978928,,12.71876431,89.999927,92.56015778,100,100,6.1,,,,33.81801224,100,100,,,,95.20349884,,91.62487793,,,,,40.03924942,,94.20081329,100,100,100,100,,,82.8731308,,95.42431641,76.08103943,,,100,,,100,,100,100,100,,17.7,,100,30.6,100,100,100,,99.9686203,,,,72.376631,,61.100156,100,100,100,50.9,55.43,,,100,100,100,100,78.81674957,100,97.98092651,,10.9,,,99.9994812,,100,,31,100,,,,,100,100,100,,10.31037331,1.328174233,,,,100,,,,95.37493896,,,100,,,55.52347183,,,27,,,100,99.9686203,100,72.064174,4.044450283,36.57439041,,99.98716736,100,100,,,74.09790802,,,64.80953217,65.4,100,100,100,100,100,100,0.01,81.96414948,100,,100,26,,,,100,100,100,100,,,,,100,,,,,70.43152618,26.30272102,,100,100,,,4.166660786,,,,,94.07763672,,,,91.70877075,,0.993453562,,100,100,100,97.7105484,,,98.26727295,,100,,41.11056137,14.21560955,31.15446472
1994,,,,,100,,,,,,100,100,,100,100,17.8,100,100,100,72.53398132,,100,,64.1,,14.79345417,91.52645111,92.87574005,100,100,6.176669598,,,,34.96106339,100,100,,,,95.44604492,,91.94670868,,,,98.10221863,36.5,,94.45014954,100,100,100,100,,,83.66859436,,95.66529846,77.03598022,,,100,,,100,,100,100,100,,18.29841995,,100,32.14800262,100,100,100,,99.9831543,,,,70.68833923,,64.733947,100,100,100,48.84953308,62.8,,,100,100,100,100,79.61077881,100,98.07580566,,2.298414946,,,100,,100,,26.14861107,100,,,,,100,100,100,,10.77324677,1.797202229,,,,100,,,,95.238294,,,100,,,57.53868866,,,28.96110725,,,100,99.9831543,100,68.65791321,4.589141369,37.46665192,,99.99564362,100,100,,,75.07188416,,,66.09657288,68.11633301,100,100,100,100,100,100,0.01,80,100,,100,27.36167336,,90,,100,100,100,100,,,,,100,,,,,71.77442169,27.17819595,,100,100,,,4.935978889,,,,80,94.38291931,86.8,,,92.09189606,,1.951897502,,100,100,100,97.81446075,,18,98.3341217,,100,,42.37266541,14.93042278,28.1
1995,,,,,100,,,,,,100,100,,100,100,19.68896294,100,100,100,73.64995575,,100,,63.94037628,,16.8699398,91.728598,93.19311523,100,100,6.667108536,,,,36.10591507,100,100,3,,,95.69038391,,91.2,,,,98.19374847,42.2695694,,94.70128632,100,100,100,100,,,84.46585846,89.830167,95.5,76.995504,,22.9,100,,,100,,100,100,100,,19.95032501,,100,34.21460724,100,100,100,,100,60.8,,,71.32344818,31.3,66.122022,100,100,100,50.55800629,66.86,,,100,100,100,100,80.40660858,100,98.17247772,99.9,4.471945763,,,100,,100,,25,100,,,,,100,100,100,,11.2379179,2.26802659,,,,100,,,,95.82253265,,,100,,,56.5,,,29.96839714,,,100,100,100,69.34946442,6.2,38.36070633,,100,100,100,,,76.0476532,,77.469114,67.38539886,69.22126007,100,100,100,100,100,100,0.075258829,83.64120483,100,,100,29.00230598,,92.12528992,,100,100,100,100,,,,,100,,,,,73.11911011,28.05546951,,100,100,,,5.707093239,,,,81.74660492,94.69000244,88.7,,,92.47681427,,6.8,,100,100,100,97.92016602,,13.00385571,99,,100,,43.63656998,15.64703274,31.92597389
1996,,,,,100,,,,,,100,100,,100,100,22.26708412,100,100,100,74.76833344,14.5,100,,71,,18.94882202,92.867095,93.51289368,100,100,7.159942627,,,,37.25316238,100,100,3.087579966,,,95.617315,,92.59636688,,,,98.28766632,43.36985016,,94.95481873,100,100,100,100,62,,85.26551056,91.92646027,96.15325165,77.883,,24.71693993,100,,,100,66.9,100,100,100,,21.6046257,,100,36.28360748,100,100,100,,100,67.67890167,,,71.96095276,29.69367599,61.68112,100,100,100,52.26887131,72.39,,,100,100,100,100,85.706045,100,98.27155304,98.60335541,6.647871494,,,100,,100,,31.79107285,100,,,,,100,100,100,100,11.70498276,2.741245747,,,6.2,100,,,,96.093624,,,100,,,61.57510757,,,30.97808456,,17.9,100,100,100,70.04341888,7,39.25716019,,100,100,100,,,77.0258255,11,85.97345734,67,70.32859039,100,100,100,100,100,100,0.408376098,84.4830246,100,,100,30.64533234,,92.50496674,,100,100,100,100,,,57.6,,100,,,,,74.46619415,28.9351368,,100,100,,,9.4,,,,82.48479462,94.99947357,90.4,,,92.86412811,,3.874773026,,100,100,100,98.02826691,99.6,14.84638977,98.47380829,,100,,44.90286636,17.3,32.31502151
1997,,,,,100,,,,,,100,100,,100,100,22.4,100,100,100,75.88969421,18.06005669,100,,67.330431,,21.03069687,93.354139,93.83566284,100,100,7.655770779,1.899384141,,,38.40340042,100,100,3.690220594,2.3,,96.1868515,,92.92538452,,,,98.38458252,44.45660019,,95.21134186,100,100,100,100,56.31235886,,86.06816101,92.32530212,96.40142059,79.91395569,,25.84407425,100,,,100,71.81281281,100,100,100,,23.26192093,,100,38.35560226,100,100,100,,100,68.9023056,,,72.60144806,30.29956055,64.794754,100,100,100,53.98273468,80.3,,,100,100,100,100,82.00605011,100,98.9,98.72103119,8.82679081,,,100,,100,99.8,34.61649323,100,,,,,100,100,100,100,10.9,3.217458963,,,3.621666193,100,,,,96.27970886,,,100,,,63.59751129,6.6,,31.99076462,,16.26917839,100,100,100,70.74036407,6.236388683,40.15660477,,100,100,100,,,78.00698853,2.25112009,86.412854,69.16024,71.43890381,100,100,100,100,100,100,1.054141283,85.32783508,100,,100,32.2,,92,,100,100,100,100,,,68.52000427,,100,,,,,75.81627655,29.81779671,,100,100,,,7.257106781,,,,83.22598267,95.31194305,92,,,93.25443268,,4.840402126,,100,100,100,98.13936615,99.32148743,16.69191933,98.7,78.4,100,97.9,42.6,17.08803558,32.70706177
1998,,,,,100,,,,,,100,100,,100,100,27.43206215,100,100,100,77.0138092,19.17554474,100,,71.2,,23.11532021,94.193812,94.16117859,100,100,8.154346466,3.9,,18.67,40.7,100,100,4.295608997,1.789616823,,97.241124,,93.25715637,,,,98.4842453,45.52711487,,95.4706192,100,100,100,100,56.34375,75,86.87355804,92.726642,96.65233612,81.637983,,26.97395706,100,,,100,73.13360596,100,100,100,,24.92196274,,100,42.6,100,100,100,85.04,100,70.12845612,,,73.24468994,30.90819168,66.859519,100,100,100,55.69934082,80.94,,,100,100,100,100,82.81002045,100,98.4784317,98.84145355,14.5,,,100,,100,99.70155334,37.444664,100,,,,,100,100,100,100,12.64784908,3.696419954,,,5.543251514,100,,,,96.092755,,,100,,,65.62265778,3.438611031,,33.00619125,,20.08240891,100,100,100,69.047103,6.7,41.05879974,,100,100,100,70.46,,78.99089813,4.389128685,87.56529999,72.072063,71.3,100,100,100,100,100,100,2.207452536,86.17539978,100,,100,33.94012451,,93.27305603,,100,100,100,100,,,64.9,,100,,,,,77.16910553,30.70320702,,100,100,,,8.03635788,,,15.3,83.96992493,95.62715912,93.2,,,93.64749146,,5.80877924,,100,100,100,98.25321198,99.41344452,18.54019547,98.4,85.34568787,100,98.84223175,47.44419479,19,33.10185242
1999,,,,,100,,,,,,100,100,97,100,100,30.01504707,100,100,100,78.13704681,20.29015541,100,,70.929888,,25.19906616,94.76296,94.48582458,100,100,6.9,2.624150038,,8.872699738,40.70849609,100,100,4.900120735,2.249965429,,96.69093323,,93.58804321,,,,98.5830307,48.2,,95.72901154,100,100,100,100,56.37426376,79.62141418,91,93.071434,96.90237427,79.129592,,28.10296249,100,,,100,74.45352173,100,100,100,,26.58112907,,100,42.50421143,100,100,100,85.52648926,100,70.9,16.4,,73.88705444,31.51594543,67.394103,100,100,100,60.1,83.73,,,100,100,100,100,84.554112,100,98.58236694,97,13.18924904,,,100,,100,99.73033142,40.2719574,100,,,,,100,100,100,100,13.11977959,4.17450428,,,7.463960171,100,68.52423588,,,96.74449921,,,100,,,67.64692688,4.712772846,,34.02074432,,23.89476204,100,100,100,72.13887024,7.344760895,44.9,,100,100,100,70.29793549,,79.97393036,6.526259899,88.518177,74.078523,71.87417093,100,100,100,100,100,100,3.359886885,87.0220871,100,,100,36.2,,93.65759277,,100,100,100,100,15.7,,70.67778778,,100,,,,,78.52105713,31.58773804,99.62406,100,100,,97,8,,,16.110569,84.71298218,95.9414978,94.2,,,94.03967285,,6.776279449,,100,100,100,98.36618042,99.50453186,19.1,98.9,86.26945496,100,98.93998718,48.71535492,18.53665161,38.4
