Country Name,CO2Emissions2010,CO2Emissions2014,production2010,production2014,countryColor,CO2Electperc2010,CO2Electperc2014
Afghanistan,0.28998763,0.253727945,,,,,
Albania,1.578573584,1.90006971,0.013213531,0,C4,2.544529262,2.912621359
Algeria,3.312560602,3.735802777,99.61953907,99.60462003,C4,37.92419338,38.8269747
American Samoa,,,,,,,
Andorra,6.122594702,5.832906215,,,,,
Angola,1.244091538,1.664740736,32.04257662,46.82489451,C2,17.18440185,19.17098446
Antigua and Barbuda,5.956979597,5.704803267,,,,,
Argentina,4.606804136,4.588229602,65.68978868,64.25706881,C5,35.88533272,38.03856348
Armenia,1.463068919,1.898719374,22.15375135,42.43870968,C4,15.55555556,29.69348659
Aruba,24.67052887,8.410064178,,,,,
Australia,17.74084505,15.39110908,91.38812037,85.09328779,C7,62.92293474,58.35785756
Austria,8.078585585,6.892179661,32.86866665,17.72104648,C6,35.32838212,32.57650543
Azerbaijan,3.388225879,3.920792371,81.57669695,94.01892591,C4,42.49893753,46.18382592
"Bahamas, The",6.725653769,6.341979802,,,,,
Bahrain,23.58551891,23.47736317,100,100,C7,84.02505873,80.46480296
Bangladesh,0.408083791,0.477335997,98.21279725,98.68027576,C2,48.64593781,52.80231251
Barbados,5.237995825,4.40310366,,,,,
Belarus,6.64269666,6.628420401,99.52142141,99.09601267,C5,62.12829937,57.16524465
Belgium,10.11963524,8.347134375,40.2640862,33.47738525,C6,27.50830565,25.8470696
Belize,1.671656371,1.400941234,,,,,
Benin,0.553283259,0.522592065,99.13043478,100,C2,2.417582418,2.264808362
Bermuda,9.347122413,9.964367957,,,,,
Bhutan,0.711464428,1.443226953,,,,,
Bolivia,1.511526891,1.898829283,66.04692342,71.99314677,C3,27.22627737,24.64480874
Bosnia and Herzegovina,5.741760834,5.578265037,53.13010979,63.27351485,C5,67.74036115,70.72155412
Botswana,2.299366163,3.283177265,100,99.9567661,C4,17.43119266,54.50581395
Brazil,2.144736395,2.631289885,12.38557814,24.25323922,C5,18.65435997,26.30981892
British Virgin Islands,7.124487299,7.336782918,,,,,
Brunei Darussalam,21.10681443,22.09494374,100,99.95561474,C7,75.21865889,72.08955224
Bulgaria,5.964900206,5.859433041,54.2538627,50.41447354,C5,70.04504505,69.04818419
Burkina Faso,0.134881687,0.168273976,,,,,
Burundi,0.035505087,0.039112493,,,,,
Cabo Verde,1.131390388,0.948113817,,,,,
Cambodia,0.358188238,0.437653585,94.5,38.86348792,C2,17.53246753,19.83606557
Cameroon,0.33332691,0.299738143,26.78420071,24.67490247,C2,32.47524752,32.61589404
Canada,15.5055134,15.25547233,23.08000583,20.76312543,C7,39.87068556,38.72927181
Cayman Islands,9.835262564,8.979473442,,,,,
Central African Republic,0.060186452,0.064892841,,,,,
Chad,0.083451527,0.073267221,,,,,
Channel Islands,,,,,,,
Chile,4.234476106,4.454138162,59.61213886,57.18637342,C5,40.03499052,43.01543332
China,6.560520007,7.543907641,79.40102506,74.82288737,C5,51.56823947,52.25300871
Colombia,1.703569329,1.845535015,27.87930802,25.96168932,C4,28.76598572,26.91034483
Comoros,0.233942107,0.202812784,,,,,
"Congo, Dem. Rep.",0.031294864,0.063330889,1.087919039,0.124434389,C2,3.20855615,0
"Congo, Rep.",0.461621473,0.666519808,45.28061224,45.28735632,C2,11.47540984,17.42424242
Costa Rica,1.653498575,1.635675761,6.688928311,10.20847607,C4,9.228441755,10.73919107
Cote d'Ivoire,0.339322893,0.489631014,71.71835708,76.06806662,C2,46.85990338,42.03208556
Croatia,4.696195978,3.988513088,37.15869154,26.04197678,C5,33.05921053,31.77014531
Cuba,3.038892886,2.443066279,52.57228258,60.3635237,C4,49.7246022,52.80135823
Curacao,,37.72628905,,,C5,47.03196347,65.68421053
Cyprus,6.92787243,5.260461605,98.62833521,92.71264368,C5,52.20385675,50
Czech Republic,10.76390766,9.231128627,60.13222056,53.40086491,C6,60.60660445,58.59140342
Denmark,8.258492419,5.873333894,66.09541454,41.84998757,C6,51.4824227,45.20428861
Djibouti,0.615387087,0.681419523,,,,,
Dominica,2.431628996,2.476134206,,,,,
Dominican Republic,2.168401096,2.178516992,88.1111922,86.66062734,C4,48.9827856,53.6344756
Ecuador,2.428931904,2.893262958,54.50817571,50.82486527,C4,30.23400936,26.4652724
"Egypt, Arab Rep.",2.449400701,2.519807397,89.95204229,91.12909221,C4,44.12698413,50.33762336
El Salvador,1.044262214,0.998428944,34.95989305,40.30210509,C3,23.5395189,28.06122449
Equatorial Guinea,7.305717547,6.512062095,,,,,
Eritrea,0.158457436,0.214829822,99.35691318,99.48453608,C1,54.16666667,55.35714286
Estonia,13.35457519,13.82505125,5.808392471,5.053832557,C6,80.75067024,78.08219178
Eswatini,0.995234951,0.823803379,,,,,
Ethiopia,0.074478123,0.126763767,0.62248996,0.031529164,C1,0.67114094,0.109529025
Faroe Islands,13.19119923,12.46290659,,,,,
Fiji,1.420197065,1.900256563,,,,,
Finland,11.54656566,8.647964154,33.31184768,20.81387494,C7,56.7825384,50.6519337
France,5.428980862,4.573459729,9.852468168,4.824546466,C6,20.31580805,13.79515542
French Polynesia,3.013916046,2.712747281,,,,,
Gabon,2.955473666,2.826459284,52.66149871,59.65965966,C4,30.07518797,32.66475645
"Gambia, The",0.241304353,0.253640982,,,,,
Georgia,1.667568685,2.41448868,7.477281707,19.63166522,C5,20.04008016,14.6373057
Germany,9.267661332,8.895302257,59.45724669,56.7323431,C6,47.68142106,48.46737733
Ghana,0.401777969,0.560735246,10.77997443,18.19794801,C2,29.66507177,24.33257056
Gibraltar,13.86657734,15.65746479,100,100,C6,27.65957447,27.77777778
Greece,7.540183868,6.19952668,81.4335768,75.61329281,C6,54.30352433,58.10564663
Greenland,11.66377295,8.989181988,,,,,
Grenada,2.450810953,2.155038475,,,,,
Guam,,,,,,,
Guatemala,0.799505838,0.911580226,36.15202969,31.42590867,C3,25.29069767,21.06567534
Guinea,0.255447904,0.213752571,,,,,
Guinea-Bissau,0.156544829,0.160335469,,,,,
Guyana,2.29482304,2.632392779,,,,,
Haiti,0.21376934,0.266273568,69.84667802,91.2875121,C1,13.39712919,29.34782609
Honduras,0.97434316,1.061742673,52.19123506,56.17068923,C3,30.79019074,40.91428571
"Hong Kong SAR, China",5.732656673,6.3281682,99.75773048,99.73439575,C6,67.08740176,66.18690029
Hungary,5.022311649,4.190127409,49.33772176,35.48584649,C5,37.25036788,31.13207547
Iceland,6.168528586,6.059657407,0.011724017,0.016553551,C8,0,0
India,1.393273291,1.723311783,81.23585892,80.89615531,C3,51.50289162,53.60529195
Indonesia,1.772951392,1.450032294,84.14597508,88.51700047,C3,40.32913072,44.25125421
"Iran, Islamic Rep.",7.768594359,8.421686716,95.83660644,93.17611586,C5,32.86588424,34.34515996
Iraq,3.772295829,4.842168931,65.45145988,57.52124897,C4,55.49222297,65.04289867
Ireland,8.784418074,7.300555849,79.03534923,65.29370738,C6,34.29951691,33.72711164
Isle of Man,,,,,,,
Israel,9.035223254,7.653847633,99.5767268,98.42139016,C6,64.37235131,67.98577833
Italy,6.83837457,5.270866786,73.26164011,55.4890765,C6,39.06453341,35.56035157
Jamaica,2.548213104,2.536806259,92.31481481,90.20368574,C4,41.12554113,35.42538354
Japan,9.156018256,9.480766374,61.97064375,82.79272981,C6,49.70948535,53.09642193
Jordan,2.916818597,2.978804489,99.50598904,99.6377607,C4,48.41101695,52.4263791
Kazakhstan,15.22798733,14.36783614,90.29354113,92.12224464,C6,55.92292731,63.26612723
Kenya,0.28965606,0.309143145,30.93048418,18.51371787,C2,20.33898305,13.36032389
Kiribati,0.570035073,0.536351254,,,,,
"Korea, Dem. People's Rep.",2.068405565,1.251077232,38.14623338,27.41079904,C3,15.8504958,16.21693122
"Korea, Rep.",11.43631663,11.57034541,68.73014467,69.49562713,C7,58.61111111,60.4850214
Kosovo,4.745655749,4.005282521,96.9620743,97.22222222,C5,78.18599311,75.13513514
Kuwait,29.95609021,23.94268372,100,100,C7,69.48161621,67.39079926
Kyrgyz Republic,1.171873015,1.76327684,8.198347107,8.7427944,C4,27.81456954,25.83732057
Lao PDR,0.502886226,0.685930929,,,,,
Latvia,3.849593455,3.474283046,45.14863437,45.45808209,C5,29.41903585,26.63690476
Lebanon,4.047494872,3.843598231,94.66013238,98.92491087,C5,61.81318681,57.21949039
Lesotho,1.141124815,1.18977047,,,,,
Liberia,0.197892457,0.280944282,,,,,
Libya,9.997526326,9.350737979,100,100,C4,50.50988554,53.19415449
Liechtenstein,1.630049453,1.280686672,,,,,
Lithuania,4.348616303,4.378090123,76.75210252,51.4832794,C5,44.46267432,30.94083414
Luxembourg,21.6351358,17.36871291,90.30959752,76.167979,C7,12.01877934,8.324324324
"Macao SAR, China",2.29605235,2.671617464,,,,,
Madagascar,0.09257807,0.139903171,,,,,
Malawi,0.072131361,0.064607656,,,,,
Malaysia,7.781705461,8.125176355,94.00413508,90.292197,C5,56.09756098,54.03591511
Maldives,2.556735223,3.026224383,,,,,
Mali,0.131335414,0.176050093,,,,,
Malta,6.174949579,5.400613957,99.95269631,96.65924276,C5,72.37354086,68.37606838
Marshall Islands,2.407107121,2.501145525,,,,,
Mauritania,0.640167478,0.746292957,,,,,
Mauritius,3.132082534,3.338569663,75.67869096,79.7071842,C4,60.38251366,61.36363636
Mexico,4.069560416,4.000652984,81.24607584,79.2212832,C4,44.05069072,44.06618398
"Micronesia, Fed. Sts.",0.997716473,1.262764551,,,,,
Moldova,1.723619573,1.725073242,93.34205791,93.79555223,C4,47.51592357,45.10344828
Monaco,,,,,,,
Mongolia,5.081415981,10.07889064,100,96.83779762,C4,63.03886926,63.8215859
Montenegro,3.913105317,3.390947396,31.62605669,44.78411598,C5,68.65079365,67.11711712
Morocco,1.730134712,1.751330788,82.56590064,87.61218952,C3,38.67247008,40.59499153
Mozambique,0.116251552,0.320857023,0.11400456,8.842425609,C2,0.840336134,19.89664083
Myanmar,0.260019433,0.312686183,32.32135755,37.63509218,C2,34.43037975,24.28425358
Namibia,1.464118206,1.645240892,4.444444444,0.867823765,C4,0.977198697,0.278551532
Nauru,4.3982009,4.021851008,,,,,
Nepal,0.187197028,0.298463303,0.093516209,0.026336582,C2,0,1.854974705
Netherlands,11.1556698,10.01385146,85.84388363,83.01069446,C6,41.72746529,45.84737765
New Caledonia,14.3302983,18.23581794,,,,,
New Zealand,7.298263038,7.673379165,26.68359166,20.67118722,C6,27.97364086,23.71959027
Nicaragua,0.778851026,0.761728045,62.99535392,46.13135403,C3,41.82242991,34.36123348
Niger,0.071272972,0.106730938,98.97610922,99.09706546,C1,24.26470588,23.46938776
Nigeria,0.72017502,0.737682613,75.59817771,82.40868707,C2,34.10435718,39.0625
North Macedonia,4.154446162,3.628569985,66.51515152,75.95831783,C5,63.78896882,59.8923284
Northern Mariana Islands,,,,,,,
Norway,10.10866816,9.328763622,4.05800159,1.970600314,C7,36.77488026,36.47691872
Oman,15.59066447,15.20154274,100,100,C6,45.34938621,38.53088481
Pakistan,0.944500917,0.933991503,62.67269876,63.47253898,C2,31.76004872,33.68260205
